Labels,Absorbance UY_AB_001,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

510.00,1.02749161E-1,
511.00,9.71716791E-2,
512.00,9.10956860E-2,
513.00,8.47109929E-2,
514.00,7.93244019E-2,
515.00,7.46719837E-2,
516.00,7.06236437E-2,
517.00,6.73258081E-2,
518.00,6.46617934E-2,
519.00,6.24356195E-2,
520.00,6.04333505E-2,
521.00,5.87387830E-2,
522.00,5.73990531E-2,
523.00,5.61539195E-2,
524.00,5.49314879E-2,
525.00,5.41680120E-2,
526.00,5.31165674E-2,
527.00,5.25511503E-2,
528.00,5.20046502E-2,
529.00,5.11977635E-2,
530.00,5.05094826E-2,
531.00,5.00625931E-2,
532.00,4.94019389E-2,
533.00,4.92865406E-2,
534.00,4.91585955E-2,
535.00,4.88849320E-2,
536.00,4.92061973E-2,
537.00,4.95836288E-2,
538.00,4.99914959E-2,
539.00,5.08791618E-2,
540.00,5.14880568E-2,
541.00,5.22253662E-2,
542.00,5.36946990E-2,
543.00,5.46734259E-2,
544.00,5.72001413E-2,
545.00,6.08411878E-2,
546.00,6.43110052E-2,
547.00,6.87322840E-2,
548.00,7.39198029E-2,
549.00,8.11994523E-2,
550.00,8.98333564E-2,
551.00,9.88434702E-2,
552.00,1.09019078E-1,
553.00,1.18732847E-1,
554.00,1.27665758E-1,
555.00,1.34761021E-1,
556.00,1.38940930E-1,
557.00,1.39949009E-1,
558.00,1.36413649E-1,
559.00,1.27036244E-1,
560.00,1.11700058E-1,
561.00,9.42663997E-2,
562.00,7.78300762E-2,
563.00,6.34117052E-2,
564.00,5.17626181E-2,
565.00,4.29526120E-2,
566.00,3.62211652E-2,
567.00,3.10221557E-2,
568.00,2.74519827E-2,
569.00,2.48029716E-2,
570.00,2.24998873E-2,
571.00,2.15337109E-2,
572.00,1.98668800E-2,
573.00,1.89054348E-2,
574.00,1.78806670E-2,
575.00,1.69280004E-2,
576.00,1.61526799E-2,
577.00,1.52142476E-2,
578.00,1.50669245E-2,
579.00,1.47059616E-2,
580.00,1.45894755E-2,
