Labels,Absorbance-UY-AB-002,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,5.09045534E-2,
510.00,5.10752648E-2,
511.00,4.95775156E-2,
512.00,4.68780473E-2,
513.00,4.36109863E-2,
514.00,4.04315032E-2,
515.00,3.82732116E-2,
516.00,3.71087492E-2,
517.00,3.59505415E-2,
518.00,3.48082259E-2,
519.00,3.37334946E-2,
520.00,3.36237140E-2,
521.00,3.35673727E-2,
522.00,3.29953618E-2,
523.00,3.20982747E-2,
524.00,3.19299661E-2,
525.00,3.15696448E-2,
526.00,3.09867319E-2,
527.00,3.02119832E-2,
528.00,2.96629537E-2,
529.00,2.89284382E-2,
530.00,2.83983797E-2,
531.00,2.77917441E-2,
532.00,2.70607714E-2,
533.00,2.67334841E-2,
534.00,2.62596346E-2,
535.00,2.55371649E-2,
536.00,2.48182584E-2,
537.00,2.44508963E-2,
538.00,2.38508992E-2,
539.00,2.36895420E-2,
540.00,2.31667329E-2,
541.00,2.30131224E-2,
542.00,2.24855859E-2,
543.00,2.22578775E-2,
544.00,2.19539553E-2,
545.00,2.18568556E-2,
546.00,2.14626417E-2,
547.00,2.12919451E-2,
548.00,2.11226773E-2,
549.00,2.08587740E-2,
550.00,2.07211226E-2,
551.00,2.06204709E-2,
552.00,2.06098408E-2,
553.00,2.04433948E-2,
554.00,2.05666590E-2,
555.00,2.05866192E-2,
556.00,2.06041504E-2,
557.00,2.06319354E-2,
558.00,2.03112662E-2,
559.00,1.95092168E-2,
560.00,2.03360468E-2,
561.00,2.06925292E-2,
562.00,2.06836928E-2,
563.00,2.08258182E-2,
564.00,2.10519210E-2,
565.00,2.12980900E-2,
566.00,2.16350965E-2,
567.00,2.17109304E-2,
568.00,2.23255511E-2,
569.00,2.24125106E-2,
570.00,2.27384791E-2,
571.00,2.31683906E-2,
572.00,2.35948600E-2,
573.00,2.45671030E-2,
574.00,2.45746095E-2,
575.00,2.50591803E-2,
576.00,2.55060587E-2,
577.00,2.58925408E-2,
578.00,2.59281863E-2,
579.00,2.67070979E-2,
580.00,2.67850515E-2,
581.00,2.67576333E-2,
582.00,2.71764342E-2,
583.00,2.64272299E-2,
584.00,2.62781661E-2,
585.00,2.53655910E-2,
586.00,2.45844945E-2,
587.00,2.30232980E-2,
588.00,2.13208906E-2,
589.00,1.95096694E-2,
590.00,1.77693814E-2,
591.00,1.57520082E-2,
592.00,1.39545137E-2,
593.00,1.22097190E-2,
594.00,1.07417414E-2,
595.00,9.68998484E-3,
596.00,8.74319207E-3,
597.00,7.84784555E-3,
598.00,6.98740967E-3,
599.00,6.50372449E-3,
600.00,5.63086011E-3,
601.00,5.44652855E-3,
602.00,5.11980243E-3,
603.00,4.71383892E-3,
604.00,4.25478863E-3,
605.00,4.29230742E-3,
606.00,4.05046577E-3,
607.00,3.39553156E-3,
608.00,2.85103545E-3,
609.00,3.10436054E-3,
610.00,2.99136224E-3,
611.00,2.69515556E-3,
612.00,2.48539355E-3,
613.00,2.35986384E-3,
614.00,2.46270839E-3,
615.00,1.93316687E-3,
616.00,1.84341671E-3,
617.00,2.05868436E-3,
618.00,1.59597874E-3,
619.00,1.48433144E-3,
620.00,1.35152007E-3,
621.00,1.47910765E-3,
622.00,1.44769705E-3,
623.00,1.44389842E-3,
624.00,1.36383739E-3,
625.00,1.19259802E-3,
626.00,1.23681384E-3,
627.00,1.19752006E-3,
628.00,1.13188522E-3,
629.00,9.85802850E-4,
630.00,1.14878500E-3,
631.00,1.23012823E-3,
632.00,1.06160226E-3,
633.00,1.06831978E-3,
634.00,8.77863087E-4,
635.00,6.75473595E-4,
636.00,7.38653995E-4,
637.00,7.34442379E-4,
638.00,5.86172682E-4,
639.00,5.59121079E-4,
640.00,9.53202369E-4,
641.00,7.52248045E-4,
642.00,6.78765879E-4,
643.00,6.28728187E-4,
644.00,2.31026570E-4,
645.00,5.97449485E-4,
