Labels,Absorbance-UY-A001,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,8.61804128E-1,
510.00,9.42923129E-1,
511.00,9.73193407E-1,
512.00,9.02370155E-1,
513.00,7.25649357E-1,
514.00,5.21449745E-1,
515.00,3.38823915E-1,
516.00,2.14428529E-1,
517.00,1.31344825E-1,
518.00,8.20874944E-2,
519.00,5.28914072E-2,
520.00,3.46752517E-2,
521.00,2.37129927E-2,
522.00,1.66031960E-2,
523.00,1.16840657E-2,
524.00,8.80353618E-3,
525.00,5.74973039E-3,
526.00,5.08649927E-3,
527.00,4.20301687E-3,
528.00,3.26715922E-3,
529.00,2.22014403E-3,
530.00,2.03139381E-3,
531.00,1.61714095E-3,
532.00,2.05478841E-3,
533.00,1.75281847E-3,
534.00,1.49731734E-3,
535.00,1.06755109E-3,
536.00,1.75385608E-3,
537.00,1.06243393E-3,
538.00,1.20161648E-3,
539.00,6.94370305E-4,
540.00,1.52062136E-3,
541.00,1.02076633E-3,
542.00,4.12870460E-4,
543.00,4.73712687E-4,
544.00,4.19914286E-4,
545.00,-1.70022016E-4,
546.00,5.87254355E-4,
547.00,9.01057618E-4,
548.00,1.07596337E-3,
549.00,1.39409024E-3,
550.00,9.48235800E-4,
551.00,7.28021027E-4,
552.00,7.94725434E-4,
553.00,1.31792505E-3,
554.00,9.84175829E-4,
555.00,2.90132331E-4,
556.00,1.12457077E-4,
557.00,8.12046870E-4,
558.00,6.01881708E-4,
559.00,7.33649300E-4,
560.00,5.85904869E-4,
561.00,1.04175392E-3,
562.00,7.81324983E-4,
563.00,1.12983619E-3,
564.00,9.90962493E-4,
565.00,1.18065870E-3,
566.00,1.49318401E-3,
567.00,1.03474071E-3,
568.00,7.54197885E-4,
569.00,-4.28510801E-4,
570.00,-2.04156808E-4,
571.00,5.40455221E-4,
572.00,-5.44049777E-4,
573.00,1.24697166E-4,
574.00,-1.05263149E-4,
575.00,5.38775603E-5,
576.00,5.65176946E-4,
577.00,1.62696830E-4,
578.00,7.87726138E-4,
579.00,7.75889377E-4,
580.00,4.39394033E-4,
581.00,8.06273543E-4,
582.00,5.49924152E-4,
583.00,4.07522282E-4,
584.00,7.42591437E-5,
585.00,2.81629764E-4,
586.00,-3.04199511E-5,
587.00,-8.57167062E-4,
588.00,-3.86842905E-4,
589.00,-2.62980931E-4,
590.00,-7.72489642E-4,
591.00,-1.00299294E-4,
592.00,1.20271477E-4,
593.00,9.39080855E-5,
594.00,2.78373191E-4,
595.00,7.95123400E-4,
596.00,5.47464704E-4,
597.00,4.52969223E-4,
598.00,5.66293136E-4,
599.00,5.76810970E-4,
600.00,7.80230388E-4,
601.00,9.74581402E-4,
602.00,3.91021953E-4,
603.00,6.84927218E-5,
604.00,1.62082521E-4,
605.00,-4.99513990E-5,
606.00,3.02088971E-4,
607.00,-3.89016961E-4,
608.00,-1.64365687E-4,
609.00,1.68641200E-4,
610.00,4.86503559E-4,
611.00,4.12263587E-4,
612.00,5.83632442E-4,
613.00,4.50826265E-5,
614.00,5.79148938E-4,
615.00,3.68440116E-4,
616.00,2.93146528E-4,
617.00,-6.35010947E-5,
618.00,-8.83347879E-4,
619.00,-1.53683330E-4,
620.00,-3.50728718E-4,
621.00,1.24567107E-3,
622.00,-6.23363478E-4,
623.00,-6.80214493E-4,
624.00,2.27092314E-4,
625.00,2.22269766E-4,
626.00,3.20304011E-4,
627.00,2.00079739E-5,
628.00,2.08838974E-4,
629.00,-6.93973998E-5,
630.00,-9.36927099E-5,
631.00,-1.56394337E-4,
632.00,6.88079163E-4,
633.00,1.59525502E-4,
634.00,-6.40646322E-4,
635.00,-8.78430496E-4,
636.00,-6.81866717E-4,
637.00,-9.08425136E-4,
638.00,-7.01701734E-4,
639.00,-2.38629473E-5,
640.00,-2.94770452E-5,
641.00,-6.30168477E-4,
642.00,-6.67515094E-4,
643.00,4.25776052E-5,
644.00,-1.43079291E-4,
645.00,1.70909014E-4,
646.00,5.04583528E-4,
647.00,2.49162578E-4,
648.00,-5.98884653E-4,
649.00,-1.00806581E-4,
650.00,-5.70583157E-4,
651.00,-2.03570962E-4,
652.00,-4.42077813E-4,
653.00,-3.85266700E-4,
654.00,-8.46111914E-4,
655.00,-5.00924420E-4,
656.00,-5.60939836E-4,
657.00,-7.44423480E-4,
658.00,-6.31067727E-4,
659.00,-1.11342652E-3,
660.00,-9.82538215E-4,
661.00,-7.23790668E-4,
662.00,-9.10673931E-4,
663.00,-8.15401436E-4,
664.00,-3.71678645E-4,
665.00,1.07936503E-5,
666.00,-8.80382941E-5,
667.00,1.13826398E-4,
668.00,-5.75798389E-4,
669.00,-5.37372660E-4,
670.00,-6.91541645E-4,
671.00,-4.08428430E-4,
672.00,4.86013923E-5,
673.00,7.44824647E-5,
674.00,-4.99536283E-4,
675.00,-1.81777999E-4,
676.00,-7.08218839E-4,
677.00,-1.10725383E-3,
