Labels,ExScan-UY-AB-001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,690.00,
Step,1.00,
Fixed/Offset,700.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

510.00,1.18825420E+4,
511.00,9.93823730E+3,
512.00,9.65948145E+3,
513.00,1.03163389E+4,
514.00,7.68886768E+3,
515.00,9.51905762E+3,
516.00,7.85798389E+3,
517.00,8.19902246E+3,
518.00,8.35318945E+3,
519.00,8.13465527E+3,
520.00,7.62865332E+3,
521.00,6.96957422E+3,
522.00,6.82309424E+3,
523.00,6.85596484E+3,
524.00,6.46338867E+3,
525.00,5.87018311E+3,
526.00,7.04295947E+3,
527.00,6.82557275E+3,
528.00,5.59254834E+3,
529.00,6.53331299E+3,
530.00,5.86257666E+3,
531.00,6.38289551E+3,
532.00,4.81228857E+3,
533.00,5.35511621E+3,
534.00,6.08651221E+3,
535.00,6.36622266E+3,
536.00,5.61895801E+3,
537.00,6.13418994E+3,
538.00,5.60894287E+3,
539.00,5.33402295E+3,
540.00,5.37880713E+3,
541.00,5.13918750E+3,
542.00,5.13465430E+3,
543.00,5.08322070E+3,
544.00,4.44534180E+3,
545.00,4.77159668E+3,
546.00,5.24197656E+3,
547.00,4.86056445E+3,
548.00,4.97715137E+3,
549.00,5.69326563E+3,
550.00,4.38556592E+3,
551.00,4.15275732E+3,
552.00,5.03989453E+3,
553.00,3.96821680E+3,
554.00,4.98794238E+3,
555.00,3.75868140E+3,
556.00,4.93451953E+3,
557.00,4.85712695E+3,
558.00,3.98145239E+3,
559.00,4.52526953E+3,
560.00,4.89486035E+3,
561.00,6.02602881E+3,
562.00,4.40690332E+3,
563.00,4.93583154E+3,
564.00,4.39226904E+3,
565.00,5.29781641E+3,
566.00,5.56573242E+3,
567.00,5.45095068E+3,
568.00,4.81546338E+3,
569.00,4.25959326E+3,
570.00,5.37551465E+3,
571.00,5.74565430E+3,
572.00,5.40224121E+3,
573.00,4.73633984E+3,
574.00,5.56394873E+3,
575.00,5.29240674E+3,
576.00,5.95044922E+3,
577.00,6.37558105E+3,
578.00,6.64053125E+3,
579.00,5.93760498E+3,
580.00,5.90439453E+3,
581.00,6.16183252E+3,
582.00,5.57482568E+3,
583.00,5.50386768E+3,
584.00,5.60385010E+3,
585.00,5.98361035E+3,
586.00,5.51593311E+3,
587.00,6.28302051E+3,
588.00,4.62672949E+3,
589.00,3.92805469E+3,
590.00,3.39290771E+3,
591.00,3.07912744E+3,
592.00,2.87527881E+3,
