Labels,EmScan-UY-AB-003,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

400.00,1.77613449E+2,
401.00,1.38757339E+2,
402.00,1.37130768E+2,
403.00,1.15604767E+2,
404.00,1.44099213E+2,
405.00,1.48962372E+2,
406.00,1.33979095E+2,
407.00,1.71697906E+2,
408.00,1.55425964E+2,
409.00,1.27865082E+2,
410.00,1.35681396E+2,
411.00,1.60466553E+2,
412.00,1.17051086E+2,
413.00,1.37594879E+2,
414.00,1.68475723E+2,
415.00,1.17245232E+2,
416.00,1.45792770E+2,
417.00,1.55591110E+2,
418.00,1.01184608E+2,
419.00,1.31657242E+2,
420.00,8.00480957E+1,
421.00,1.33202866E+2,
422.00,1.63660446E+2,
423.00,1.38860825E+2,
424.00,1.42603806E+2,
425.00,9.96467819E+1,
426.00,1.36029831E+2,
427.00,1.58382767E+2,
428.00,8.93398972E+1,
429.00,1.29887039E+2,
430.00,9.73867645E+1,
431.00,1.42067780E+2,
432.00,1.29990509E+2,
433.00,1.22011780E+2,
434.00,1.22188713E+2,
435.00,1.30346466E+2,
436.00,1.14134941E+2,
437.00,1.10240479E+2,
438.00,1.24799980E+2,
439.00,8.81427917E+1,
440.00,1.45833405E+2,
441.00,1.46130692E+2,
442.00,1.38190186E+2,
443.00,1.03342964E+2,
444.00,1.03596138E+2,
445.00,7.89700928E+1,
446.00,1.20768883E+2,
447.00,8.13638000E+1,
448.00,8.77401733E+1,
449.00,8.37145920E+1,
450.00,1.19622192E+2,
451.00,1.49395859E+2,
452.00,1.18172897E+2,
453.00,9.95037155E+1,
454.00,7.86095657E+1,
455.00,1.19418060E+2,
456.00,7.49160156E+1,
457.00,1.13840569E+2,
458.00,1.05557770E+2,
459.00,1.08075226E+2,
460.00,1.36633087E+2,
461.00,9.37101364E+1,
462.00,1.13869499E+2,
463.00,1.27546356E+2,
464.00,7.29201584E+1,
465.00,9.99468460E+1,
466.00,5.36039505E+1,
467.00,1.19039848E+2,
468.00,1.12787262E+2,
469.00,8.83439941E+1,
470.00,6.36644554E+1,
471.00,7.53157883E+1,
472.00,6.17955322E+1,
473.00,7.10897827E+1,
474.00,6.89300919E+1,
475.00,7.82461929E+1,
476.00,4.61244354E+1,
477.00,7.86068878E+1,
478.00,3.94118195E+1,
479.00,4.88235512E+1,
480.00,6.99155502E+1,
481.00,9.10560379E+1,
482.00,1.16853203E+2,
483.00,6.79376526E+1,
484.00,5.16942558E+1,
485.00,7.54374847E+1,
486.00,1.08814049E+2,
487.00,3.79830551E+1,
488.00,8.58026428E+1,
489.00,9.81318054E+1,
490.00,4.81235428E+1,
491.00,6.52935867E+1,
492.00,2.43256207E+1,
493.00,7.34745941E+1,
494.00,3.69406967E+1,
495.00,3.46595726E+1,
496.00,6.97184219E+1,
497.00,3.75770035E+1,
498.00,1.51094151E+1,
499.00,7.08751984E+1,
500.00,3.30946350E+1,
501.00,6.66089783E+1,
502.00,6.95648193E+1,
503.00,4.40735893E+1,
504.00,4.69721985E+1,
505.00,3.15111160E+1,
506.00,3.43313980E+1,
507.00,1.40810684E+2,
508.00,8.54957199E+1,
509.00,4.03355370E+1,
510.00,5.41215096E+1,
511.00,5.17697220E+1,
512.00,5.20896912E+1,
513.00,6.06372185E+1,
514.00,7.47771835E+1,
515.00,6.41707764E+1,
516.00,6.46146622E+1,
517.00,2.54525757E+1,
518.00,9.39991837E+1,
519.00,4.87970123E+1,
520.00,3.46943245E+1,
521.00,2.91301203E+0,
522.00,4.98848228E+1,
523.00,2.36423492E+1,
524.00,5.95200348E+0,
525.00,2.99589634E+0,
526.00,4.52586021E+1,
527.00,6.98846283E+1,
528.00,3.36635628E+1,
529.00,5.23646927E+1,
530.00,2.48272533E+1,
531.00,2.81292858E+1,
532.00,5.97981339E+1,
533.00,1.26804562E+1,
534.00,8.30111084E+1,
535.00,4.50124092E+1,
536.00,0.00000000E+0,
537.00,7.82298126E+1,
538.00,1.31269789E+1,
539.00,3.63563690E+1,
540.00,4.33032532E+1,
541.00,5.03678322E+1,
542.00,2.02912216E+1,
543.00,1.70267677E+1,
544.00,7.89175110E+1,
545.00,6.92368698E+1,
546.00,5.93344688E+1,
547.00,4.56972198E+1,
548.00,3.54153175E+1,
549.00,6.41920547E+1,
550.00,2.87388878E+1,
551.00,5.06738396E+1,
552.00,6.92916489E+1,
553.00,5.51001854E+1,
554.00,5.18330765E+1,
555.00,8.20691910E+1,
556.00,9.77065964E+1,
557.00,5.67965202E+1,
558.00,3.43565140E+1,
559.00,1.92248592E+1,
560.00,1.16262611E+2,
561.00,1.05481842E+2,
562.00,7.87701492E+1,
563.00,5.95778122E+1,
564.00,1.00155838E+2,
565.00,1.45375732E+2,
566.00,1.79077682E+2,
567.00,1.96925247E+2,
568.00,1.32403214E+2,
569.00,2.87935760E+2,
570.00,2.23008118E+2,
571.00,2.75708099E+2,
572.00,3.84604492E+2,
573.00,3.23106445E+2,
574.00,3.82158783E+2,
575.00,5.95071838E+2,
576.00,5.99808594E+2,
577.00,6.93594971E+2,
578.00,6.72514404E+2,
579.00,1.06682483E+3,
580.00,9.43248108E+2,
581.00,1.04708374E+3,
582.00,1.21282886E+3,
583.00,1.39644971E+3,
584.00,1.33764099E+3,
585.00,1.68596033E+3,
586.00,1.49003735E+3,
587.00,1.86929846E+3,
588.00,1.96776318E+3,
589.00,2.02679285E+3,
590.00,1.93424792E+3,
591.00,1.88512378E+3,
592.00,2.03189136E+3,
593.00,1.98048230E+3,
594.00,2.08735962E+3,
595.00,2.32018115E+3,
596.00,2.21934717E+3,
597.00,2.13317456E+3,
598.00,2.02482288E+3,
599.00,2.03666565E+3,
600.00,2.45098657E+3,
601.00,2.27786816E+3,
602.00,2.17094897E+3,
603.00,2.14603369E+3,
604.00,2.04913770E+3,
605.00,2.19688550E+3,
606.00,2.27508447E+3,
607.00,2.61718018E+3,
608.00,2.36369116E+3,
609.00,2.80565283E+3,
610.00,2.41582617E+3,
611.00,2.69998193E+3,
612.00,2.91187134E+3,
613.00,2.81509253E+3,
614.00,2.82470801E+3,
615.00,2.97218164E+3,
616.00,3.11266406E+3,
617.00,3.05649609E+3,
618.00,3.08436572E+3,
619.00,3.27380322E+3,
620.00,3.44033789E+3,
621.00,3.79322681E+3,
622.00,3.95426099E+3,
623.00,4.19017725E+3,
624.00,4.60918213E+3,
625.00,4.27389307E+3,
626.00,4.50216357E+3,
627.00,4.62322559E+3,
628.00,5.37290088E+3,
629.00,5.10429736E+3,
630.00,5.52832617E+3,
631.00,6.50732520E+3,
632.00,6.21522363E+3,
633.00,5.95771045E+3,
634.00,6.64184619E+3,
635.00,6.57431396E+3,
636.00,7.14482373E+3,
637.00,6.88572168E+3,
638.00,7.24577051E+3,
639.00,8.31291992E+3,
640.00,7.81298828E+3,
641.00,7.95606787E+3,
642.00,8.21162109E+3,
643.00,8.19285547E+3,
644.00,7.93378516E+3,
645.00,7.96203955E+3,
646.00,8.29654102E+3,
647.00,8.95969922E+3,
648.00,8.09014648E+3,
649.00,8.28136621E+3,
650.00,8.69729102E+3,
651.00,9.21816992E+3,
652.00,8.33220898E+3,
653.00,8.98865527E+3,
654.00,8.76512402E+3,
655.00,8.80182227E+3,
656.00,9.36471680E+3,
657.00,9.17891797E+3,
658.00,9.90330273E+3,
659.00,9.69529102E+3,
660.00,9.88852637E+3,
661.00,9.86383203E+3,
662.00,1.06573555E+4,
663.00,1.01664307E+4,
664.00,1.05519912E+4,
665.00,1.03980225E+4,
666.00,1.14248799E+4,
667.00,1.09367686E+4,
668.00,1.14694912E+4,
669.00,1.25007744E+4,
670.00,1.21793428E+4,
671.00,1.30161484E+4,
672.00,1.27690762E+4,
673.00,1.36941230E+4,
674.00,1.36628340E+4,
675.00,1.27685586E+4,
676.00,1.37176406E+4,
677.00,1.39978525E+4,
678.00,1.42128184E+4,
679.00,1.56102734E+4,
680.00,1.53923740E+4,
681.00,1.56413867E+4,
682.00,1.59506016E+4,
683.00,1.67941113E+4,
684.00,1.67289707E+4,
685.00,1.71555039E+4,
686.00,1.76019746E+4,
687.00,1.89451895E+4,
688.00,1.80806973E+4,
689.00,2.05636426E+4,
690.00,1.96363477E+4,
691.00,1.96572734E+4,
692.00,2.16524629E+4,
693.00,2.07788457E+4,
694.00,2.11122363E+4,
695.00,2.29050957E+4,
696.00,2.21367617E+4,
697.00,2.33790078E+4,
698.00,2.37852656E+4,
699.00,2.35396309E+4,
700.00,2.52155762E+4,
701.00,2.36877266E+4,
702.00,2.36824668E+4,
703.00,2.32908496E+4,
704.00,2.50409434E+4,
705.00,2.49642324E+4,
706.00,2.58938105E+4,
707.00,2.69578555E+4,
708.00,2.55446309E+4,
709.00,2.66347383E+4,
710.00,2.61151953E+4,
711.00,2.71942695E+4,
712.00,2.79520000E+4,
713.00,2.66682637E+4,
714.00,2.86093672E+4,
715.00,2.71542891E+4,
716.00,2.78562480E+4,
717.00,2.84112598E+4,
718.00,2.72384863E+4,
719.00,2.84250840E+4,
720.00,2.94015391E+4,
721.00,2.75586484E+4,
722.00,2.63816836E+4,
723.00,2.98765195E+4,
724.00,2.88923516E+4,
725.00,2.84056875E+4,
726.00,2.72554980E+4,
727.00,2.92323223E+4,
728.00,2.85402617E+4,
729.00,2.62760625E+4,
730.00,2.81080469E+4,
731.00,2.73288281E+4,
732.00,2.59402383E+4,
733.00,2.70526152E+4,
734.00,2.86153691E+4,
735.00,2.80355723E+4,
736.00,2.52252656E+4,
737.00,2.60479902E+4,
738.00,2.60880410E+4,
739.00,2.59202813E+4,
740.00,2.38659473E+4,
741.00,2.45176211E+4,
742.00,2.42377637E+4,
743.00,2.37020352E+4,
744.00,2.36834395E+4,
745.00,2.28238281E+4,
746.00,2.47795684E+4,
747.00,2.16668965E+4,
748.00,2.21380957E+4,
749.00,2.26015957E+4,
750.00,2.28058301E+4,
