Labels,ExScan_UY_AB_001,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,642.00,
Step,1.00,
Fixed/Offset,652.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

510.00,2.33963859E+5,
511.00,2.20685219E+5,
512.00,2.06940656E+5,
513.00,1.91561938E+5,
514.00,1.81547453E+5,
515.00,1.69414594E+5,
516.00,1.62526703E+5,
517.00,1.51997078E+5,
518.00,1.45475719E+5,
519.00,1.43954781E+5,
520.00,1.37608609E+5,
521.00,1.35352781E+5,
522.00,1.33050078E+5,
523.00,1.29669453E+5,
524.00,1.26697938E+5,
525.00,1.24410453E+5,
526.00,1.23373422E+5,
527.00,1.22391719E+5,
528.00,1.19354148E+5,
529.00,1.20914906E+5,
530.00,1.19544719E+5,
531.00,1.20886469E+5,
532.00,1.17439406E+5,
533.00,1.19846258E+5,
534.00,1.20725508E+5,
535.00,1.19315461E+5,
536.00,1.19765617E+5,
537.00,1.23058102E+5,
538.00,1.22928383E+5,
539.00,1.24949992E+5,
540.00,1.27647547E+5,
541.00,1.31964938E+5,
542.00,1.35471375E+5,
543.00,1.43527578E+5,
544.00,1.49026594E+5,
545.00,1.55698219E+5,
546.00,1.69263625E+5,
547.00,1.85533281E+5,
548.00,1.98954672E+5,
549.00,2.21227891E+5,
550.00,2.42052391E+5,
551.00,2.66325406E+5,
552.00,2.88973531E+5,
553.00,3.05991500E+5,
554.00,3.24865063E+5,
555.00,3.40939844E+5,
556.00,3.41581656E+5,
557.00,3.36104250E+5,
558.00,3.21680500E+5,
559.00,2.93643125E+5,
560.00,2.55022188E+5,
561.00,2.15161125E+5,
562.00,1.74245359E+5,
563.00,1.37649875E+5,
564.00,1.05886117E+5,
565.00,8.62976328E+4,
566.00,6.80355000E+4,
567.00,5.54225898E+4,
568.00,4.69275273E+4,
569.00,3.81329844E+4,
570.00,3.39853867E+4,
571.00,2.99470215E+4,
572.00,2.80081895E+4,
573.00,2.51030840E+4,
574.00,2.24003848E+4,
575.00,2.03319863E+4,
576.00,2.02249961E+4,
577.00,1.84319414E+4,
578.00,1.78925879E+4,
579.00,1.63330586E+4,
580.00,1.56469434E+4,
581.00,1.68259727E+4,
582.00,1.48928525E+4,
583.00,1.48807559E+4,
584.00,1.33196445E+4,
585.00,1.33043906E+4,
586.00,1.35827979E+4,
587.00,1.25613330E+4,
588.00,1.16360195E+4,
589.00,1.14429619E+4,
590.00,1.20223096E+4,
591.00,1.12733525E+4,
592.00,1.07517598E+4,
593.00,1.19046699E+4,
594.00,1.00437510E+4,
595.00,1.03021270E+4,
596.00,1.07130791E+4,
597.00,1.00341807E+4,
598.00,9.79856055E+3,
599.00,8.39187793E+3,
600.00,9.04534473E+3,
601.00,9.06000000E+3,
602.00,8.97059180E+3,
603.00,8.70741211E+3,
604.00,8.44106641E+3,
605.00,7.79274902E+3,
606.00,7.99580713E+3,
607.00,7.50288965E+3,
608.00,7.88500977E+3,
