Labels,uy-a001-2 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,1.06154990E+0,
510.00,1.15782547E+0,
511.00,1.17671752E+0,
512.00,1.06271553E+0,
513.00,8.21903110E-1,
514.00,5.74720860E-1,
515.00,3.64498496E-1,
516.00,2.28641942E-1,
517.00,1.39448255E-1,
518.00,8.62760246E-2,
519.00,5.45774922E-2,
520.00,3.51074189E-2,
521.00,2.27297954E-2,
522.00,1.56374183E-2,
523.00,1.07223550E-2,
524.00,7.53416633E-3,
525.00,4.97180829E-3,
526.00,3.69386515E-3,
527.00,2.70178565E-3,
528.00,1.44998834E-3,
529.00,1.26369752E-3,
530.00,1.17121451E-3,
531.00,4.13961505E-4,
532.00,3.61947430E-4,
533.00,1.42274235E-4,
534.00,2.01668794E-4,
535.00,2.34639345E-4,
536.00,2.07349483E-4,
537.00,1.44727692E-5,
538.00,6.25922839E-5,
539.00,2.32985622E-4,
540.00,1.06709507E-4,
541.00,1.56949827E-4,
542.00,4.81953211E-5,
543.00,6.69618021E-5,
544.00,2.89786432E-4,
545.00,9.21198371E-5,
546.00,2.03057025E-5,
547.00,6.96537682E-5,
548.00,3.42111016E-5,
549.00,-2.06067911E-4,
550.00,-1.69374820E-4,
551.00,-3.55618758E-5,
552.00,-5.41880981E-5,
553.00,-8.59033098E-5,
554.00,-6.94091199E-4,
555.00,-3.96024931E-4,
556.00,-4.83040960E-4,
557.00,-7.65458273E-4,
558.00,-6.07987808E-4,
559.00,1.03232247E-4,
560.00,4.43429803E-4,
561.00,-4.52530803E-4,
562.00,-1.13822788E-3,
563.00,-1.18046417E-3,
564.00,-1.24091376E-3,
565.00,-1.45132269E-3,
566.00,-1.31966826E-3,
567.00,-1.49504445E-3,
568.00,-1.46377517E-3,
569.00,-1.27565977E-3,
570.00,-1.68083410E-3,
571.00,-1.40470336E-3,
572.00,-1.55086094E-3,
573.00,-1.72659487E-3,
574.00,-1.25754776E-3,
575.00,-1.12466107E-3,
576.00,-1.30870903E-3,
577.00,-8.78334802E-4,
578.00,-1.09400006E-3,
579.00,-1.14265131E-3,
580.00,-9.60604812E-4,
581.00,-7.40061456E-4,
582.00,-8.48150521E-4,
583.00,-9.51510621E-4,
584.00,-1.06585247E-3,
585.00,-1.24300248E-3,
586.00,-1.41143671E-3,
587.00,-1.39858271E-3,
588.00,-1.35462265E-3,
589.00,-9.40980215E-4,
590.00,-1.16836745E-3,
591.00,-1.51316449E-3,
592.00,-1.28594774E-3,
593.00,-7.25976657E-4,
594.00,-1.37791003E-3,
595.00,-1.38883176E-3,
596.00,-1.08076760E-3,
597.00,-1.23198621E-3,
598.00,-1.09199586E-3,
599.00,-1.59979716E-3,
600.00,-1.07918540E-3,
