Labels,EmScan_UY_AB_001,
Type,Emission Scan,
Comment,Range = [560.00 - 750.00] nm; Peak at 652.00 nm; FWHM = 47.55 nm; Color Coordinates (CIE 1931): x = 0.7059 y = 0.2940,
Start,400.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

605.00,2.95093086E+4,
606.00,3.22357559E+4,
607.00,3.61254609E+4,
608.00,3.95940547E+4,
609.00,4.37415508E+4,
610.00,4.70047930E+4,
611.00,5.25837656E+4,
612.00,5.83251797E+4,
613.00,6.33484648E+4,
614.00,6.99248203E+4,
615.00,7.60400000E+4,
616.00,8.45487109E+4,
617.00,8.99380547E+4,
618.00,9.90903594E+4,
619.00,1.10342523E+5,
620.00,1.17690078E+5,
621.00,1.29383297E+5,
622.00,1.39134375E+5,
623.00,1.54176563E+5,
624.00,1.63253984E+5,
625.00,1.75283500E+5,
626.00,1.90201188E+5,
627.00,2.00844422E+5,
628.00,2.19133203E+5,
629.00,2.33937859E+5,
630.00,2.50200969E+5,
631.00,2.64217281E+5,
632.00,2.79319281E+5,
633.00,2.94902000E+5,
634.00,3.09512094E+5,
635.00,3.29066063E+5,
636.00,3.43592281E+5,
637.00,3.62476063E+5,
638.00,3.78022063E+5,
639.00,3.89526938E+5,
640.00,4.07557875E+5,
641.00,4.22220188E+5,
642.00,4.32952094E+5,
643.00,4.48604156E+5,
644.00,4.56444469E+5,
645.00,4.66781906E+5,
646.00,4.78955844E+5,
647.00,4.88019313E+5,
648.00,4.96780844E+5,
649.00,5.05347750E+5,
650.00,5.04206531E+5,
651.00,5.12282469E+5,
652.00,5.16054438E+5,
653.00,5.10575031E+5,
654.00,5.14964313E+5,
655.00,5.14027813E+5,
656.00,5.13218938E+5,
657.00,5.08450813E+5,
658.00,5.02525906E+5,
659.00,4.97560031E+5,
660.00,4.85942344E+5,
661.00,4.78873656E+5,
662.00,4.70805500E+5,
663.00,4.61372375E+5,
664.00,4.48036594E+5,
