Labels,ExScan-UY-AB-003,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,580.00,
Step,1.00,
Fixed/Offset,724.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.500,
Detector,Detector 1,

510.00,1.45702324E+4,
511.00,1.29241973E+4,
512.00,1.26173662E+4,
513.00,1.18613662E+4,
514.00,1.19633965E+4,
515.00,1.00958018E+4,
516.00,1.05558281E+4,
517.00,8.94686914E+3,
518.00,8.02951416E+3,
519.00,1.06563613E+4,
520.00,8.80570117E+3,
521.00,7.91703711E+3,
522.00,7.67183984E+3,
523.00,8.47421875E+3,
524.00,8.64236523E+3,
525.00,9.58219922E+3,
526.00,8.30127344E+3,
527.00,8.80796289E+3,
528.00,9.06963965E+3,
529.00,8.66789160E+3,
530.00,8.71391211E+3,
531.00,7.17171582E+3,
532.00,7.27637646E+3,
533.00,7.37413281E+3,
534.00,6.17610547E+3,
535.00,6.20238037E+3,
536.00,6.92558691E+3,
537.00,6.76672607E+3,
538.00,6.77305225E+3,
539.00,7.60315039E+3,
540.00,5.75036768E+3,
541.00,5.70069678E+3,
542.00,6.65880176E+3,
543.00,6.55211621E+3,
544.00,6.40589258E+3,
545.00,5.52518457E+3,
546.00,6.09110498E+3,
547.00,6.25019775E+3,
548.00,6.44696777E+3,
549.00,7.05524902E+3,
550.00,7.14274463E+3,
551.00,6.60534570E+3,
552.00,6.03989258E+3,
553.00,5.62246729E+3,
554.00,6.76558447E+3,
555.00,6.89831348E+3,
556.00,7.24759375E+3,
557.00,5.15820166E+3,
558.00,6.24409521E+3,
559.00,6.15912744E+3,
560.00,5.79343018E+3,
561.00,5.60405273E+3,
562.00,5.81257129E+3,
563.00,7.50682861E+3,
564.00,6.37220605E+3,
565.00,6.53771729E+3,
566.00,6.55414941E+3,
567.00,7.66828369E+3,
568.00,7.02017969E+3,
569.00,7.80766943E+3,
570.00,7.07025732E+3,
571.00,6.61948193E+3,
572.00,7.13425537E+3,
573.00,7.12460010E+3,
574.00,6.99773145E+3,
575.00,6.90995166E+3,
576.00,8.86850488E+3,
577.00,7.56329248E+3,
578.00,6.52319043E+3,
579.00,6.70397900E+3,
580.00,8.03214404E+3,
