Labels,UY-AB-003 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,3.72125506E-2,
510.00,3.77260707E-2,
511.00,3.63704301E-2,
512.00,3.40489224E-2,
513.00,3.13425548E-2,
514.00,2.89112628E-2,
515.00,2.69321185E-2,
516.00,2.60284021E-2,
517.00,2.50479002E-2,
518.00,2.42688414E-2,
519.00,2.37240456E-2,
520.00,2.37403754E-2,
521.00,2.32630763E-2,
522.00,2.31067538E-2,
523.00,2.28376091E-2,
524.00,2.24425904E-2,
525.00,2.24181805E-2,
526.00,2.17936486E-2,
527.00,2.16129813E-2,
528.00,2.08861902E-2,
529.00,2.03904305E-2,
530.00,2.01773103E-2,
531.00,2.00923644E-2,
532.00,1.97140221E-2,
533.00,1.91395544E-2,
534.00,1.90520268E-2,
535.00,1.89460739E-2,
536.00,1.85357463E-2,
537.00,1.82007253E-2,
538.00,1.77010987E-2,
539.00,1.71665344E-2,
540.00,1.70273595E-2,
541.00,1.72031131E-2,
542.00,1.70491450E-2,
543.00,1.67192165E-2,
544.00,1.64381228E-2,
545.00,1.61617473E-2,
546.00,1.61109213E-2,
547.00,1.58871505E-2,
548.00,1.59868896E-2,
549.00,1.58608537E-2,
550.00,1.51931643E-2,
551.00,1.50214173E-2,
552.00,1.49280233E-2,
553.00,1.50532145E-2,
554.00,1.52234584E-2,
555.00,1.56289339E-2,
556.00,1.53715136E-2,
557.00,1.52090741E-2,
558.00,1.59347579E-2,
559.00,1.58880614E-2,
560.00,1.60204321E-2,
561.00,1.62976030E-2,
562.00,1.63800493E-2,
563.00,1.66085921E-2,
564.00,1.68152042E-2,
565.00,1.70541108E-2,
566.00,1.71772502E-2,
567.00,1.69262923E-2,
568.00,1.72354802E-2,
569.00,1.70639064E-2,
570.00,1.70193147E-2,
571.00,1.70678888E-2,
572.00,1.69326328E-2,
573.00,1.74068213E-2,
574.00,1.76358931E-2,
575.00,1.81211177E-2,
576.00,1.78061519E-2,
577.00,1.76554658E-2,
578.00,1.80077311E-2,
579.00,1.77858304E-2,
580.00,1.78866275E-2,
581.00,1.78118665E-2,
582.00,1.74673516E-2,
583.00,1.69833284E-2,
584.00,1.64315123E-2,
585.00,1.55632114E-2,
586.00,1.48592414E-2,
587.00,1.38025479E-2,
588.00,1.28515530E-2,
589.00,1.17288455E-2,
590.00,1.05085513E-2,
591.00,9.39464010E-3,
592.00,8.81003961E-3,
593.00,8.00718367E-3,
594.00,7.16682337E-3,
595.00,6.49656728E-3,
596.00,6.76984387E-3,
597.00,6.45099441E-3,
598.00,5.60322637E-3,
599.00,5.24894102E-3,
600.00,4.88144718E-3,
601.00,4.17209044E-3,
602.00,4.19649947E-3,
603.00,3.76191619E-3,
604.00,3.91612668E-3,
605.00,3.73220560E-3,
606.00,3.64572927E-3,
607.00,3.51123023E-3,
608.00,3.53631075E-3,
609.00,2.83702905E-3,
610.00,3.01044155E-3,
611.00,2.41788919E-3,
612.00,2.29960703E-3,
613.00,1.85564579E-3,
614.00,1.99863664E-3,
615.00,2.17507314E-3,
616.00,1.96742569E-3,
617.00,2.02618423E-3,
618.00,1.73419225E-3,
619.00,1.50687736E-3,
620.00,1.19641796E-3,
621.00,1.37030007E-3,
622.00,1.37870340E-3,
623.00,1.36579014E-3,
624.00,9.26043373E-4,
625.00,9.58156597E-4,
626.00,7.56089459E-4,
627.00,1.13658071E-3,
628.00,1.26044464E-3,
629.00,1.30886328E-3,
630.00,1.13030814E-3,
631.00,1.31369650E-3,
632.00,1.38745259E-3,
633.00,1.25575624E-3,
634.00,7.63853779E-4,
635.00,8.35422485E-4,
636.00,8.60935892E-4,
637.00,8.89363524E-4,
